	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
17215	4.93782385630242	2.1283631393977	1.53037246958281	-0.597990669814886	4.25762055271068	2.08082556256327	0	0.00125481184663512	0.0347749434684948	0.923751073260497	1	0	0	17215	Mcm3	chr1
74229	1.60111149432952	2.32915797819609	1.13800141855778	-1.19115655963831	5.20619663754956	0.616031740444527	-0.748522254686006	0.000355378625997544	0.277143921771207	0.237351688682574	1	0	0	74229	Paqr8	chr1
71877	1.31233745973557	1.28172203793874	0.955547004991866	-0.326175032946873	1.30201218814414	0	0	0.113828266779716	0.582956351157707	0.99317766322691	0	0	0	71877	Efhc1	chr1
170829	2.43544305828866	-0.0837476319926234	0.699310559316572	0.783058191309195	0	0	0	0.998913087224368	0.882622573924525	0.814295558343327	0	0	0	170829	Tram2	chr1
75712	1.07600313323148	1.16271564322033	0.281830978017359	-0.880884665202972	0.670506601110548	0	0	0.26032326237758	0.994508566909421	0.685405432653157	0	0	0	75712	Tmem14a	chr1
14859	-2.15057870868519	-0.750637129851154	-0.504697806938382	0.245939322912772	0	0	0	0.718332023221527	0.870162523556366	0.96153940904471	0	0	0	14859	Gsta3	chr1
226922	0.380702688245003	7.25043071894087	8.02657570384314	0.77614498490227	13.8162014119217	15.2101053742998	0	2.64710678677471e-07	1.24626274803877e-07	0.663692177849043	1	1	0	226922	Kcnq5	chr1
116837	-3.97718338799646	3.31481092666159	5.48703843521353	2.17222750855194	4.94235227792798	9.47760596348893	2.25616217835905	0.000503545441077026	4.95037482455481e-06	0.0264584379326584	1	1	0	116837	Rims1	chr1
70155	5.58525843555912	-3.60153401609064	-1.37764376573084	2.2238902503598	-9.29768224839856	-1.3403844504183	4.79911497946345	5.4996106840823e-06	0.107720190008589	0.000600915333558604	-1	0	1	70155	Ogfrl1	chr1
280645	1.76834718394527	-0.451558367628456	0.151139532900311	0.602697900528767	0	0	0	0.889821289497616	0.972761786678542	0.821195334839761	0	0	0	280645	B3gat2	chr1
98366	4.86861665591796	0.685763392070189	0.559558347383542	-0.126205044686647	0	0	0	0.98468195606589	0.9972275083267	0.999975841068298	0	0	0	98366	Smap1	chr1
68002	2.19958509394394	0.867021188440348	-0.51917480408859	-1.38619599252894	0	0	-1.44850752456151	0.675973831220167	0.954490215193149	0.0919745123682452	0	0	0	68002	Sdhaf4	chr1
68187	5.18837126735896	0.478881905926567	0.5525906279473	0.0737087220207329	0	0	0	0.980707745365744	0.96739163631532	0.999488720697058	0	0	0	68187	Fam135a	chr1
12839	5.97696463987934	-1.54307841684331	0.52627011563126	2.06934853247457	-1.74603598875108	0	3.61042979762084	0.0586842885776931	0.916042329416505	0.0031992866222946	0	0	0	12839	Col9a1	chr1
12823	-2.70244594965291	-1.54715680004021	0.603447807105448	2.15060460714565	-1.17077531690142	0	2.46024098956704	0.137256995814296	0.778314361248621	0.019101523672162	0	0	0	12823	Col19a1	chr1
68421	6.22337271217538	-0.977812694780867	-0.681744336600276	0.296068358180591	0	0	0	0.573127907800603	0.987519446536534	0.99991959291559	0	0	0	68421	Lmbrd1	chr1
665903	1.98106824260581	1.42802518429727	1.17432187433289	-0.253703309964384	2.00729695089049	0.85911337567535	0	0.0390466171317794	0.207122371301823	0.996039584334209	0	0	0	665903	Gm7846	NA
213109	7.24825913919738	-0.552962425768178	-0.411732134380768	0.14123029138741	0	0	0	0.996467835496905	0.99927546166872	0.999970915157669	0	0	0	213109	Phf3	chr1
19243	6.19110012627585	-0.350779840239336	0.285492533774599	0.636272374013935	0	0	0	0.998578019482643	0.999201981897763	0.981774988773724	0	0	0	19243	Ptp4a1	chr1
624262	-1.88210224033404	0.2717828812645	0.694896925153514	0.423114043889013	0	0	0	0.937811914377282	0.740141589538873	0.886448143316294	0	0	0	624262	Alyreffm2	NA
170771	-4.16844701185314	5.71770806873814	5.52403402430991	-0.193674044428223	8.88976454249982	8.52481685436932	0	8.15614849769389e-06	1.1164262820251e-05	0.932641557138493	1	1	0	170771	Khdrbs2	chr1
19076	4.06371199837114	1.08877688626174	0.96463571078841	-0.124141175473331	0.477784369871513	0	0	0.322527184358159	0.575065520162594	0.999493964732377	0	0	0	19076	Prim2	chr1
67503	-2.13101099537965	0.253696849910494	0.317949333665519	0.0642524837550251	0	0	0	0.960050047642719	0.948807106077808	0.991676159381041	0	0	0	67503	1700001G17Rik	chr1
19335	3.4274272671915	0.829292089177839	0.34012778900165	-0.489164300176189	0	0	0	0.821656199016488	0.99812871239717	0.991652436521508	0	0	0	19335	Rab23	chr1
213539	4.68834484852067	0.991702310922563	0.903092291764298	-0.0886100191582653	0	0	0	0.521659856139712	0.738299250617067	0.999928586208577	0	0	0	213539	Bag2	chr1
98403	4.77463906987043	-0.484115004981311	0.192647702260352	0.676762707241663	0	0	0	0.975293315103388	0.99683088047315	0.913583055394035	0	0	0	98403	Zfp451	chr1
433287	3.13745534753996	0.501768098742658	0.206772933873677	-0.294995164868981	0	0	0	0.994911004623201	0.999760151665259	0.999400036587492	0	0	0	433287	Gm15455	chr1
320705	-2.12339391205935	-0.671706820523057	-0.235187259848184	0.436519560674873	0	0	0	0.7729198520142	0.955780445778845	0.904477363080713	0	0	0	320705	Bend6	chr1
13518	9.9345563388505	1.61787192653253	0.703090125472899	-0.914781801059627	3.06491477509181	0	0	0.00734255989481808	0.90851963844063	0.673700541298886	1	0	0	13518	Dst	chr1
69668	3.17739835587059	-0.409224002610942	-0.114309435235282	0.294914567375659	0	0	0	0.997033241352936	0.999802371464809	0.999138804407246	0	0	0	69668	Ccdc115	chr1
27993	5.26375482507861	-0.0372327796879501	0.0196350609793603	0.0568678406673104	0	0	0	0.999990900782066	0.999995446971559	0.99999033332159	0	0	0	27993	Imp4	chr1
52318	4.07486924248046	-0.413747962385821	-0.311502164964266	0.102245797421554	0	0	0	0.997936999579035	0.999258274356896	0.999922639298539	0	0	0	52318	D1Ertd448e	NA
19253	4.1284341981843	-5.64583868238082	-4.59093398268493	1.05490469969589	-27.788638300751	-21.4042009753388	0.473282912442417	8.27093913942986e-10	6.95484171634951e-09	0.324064315865867	-1	-1	0	19253	Ptpn18	chr1
21755	-3.87527444669636	-6.58860041136304	-3.75684824886689	2.83175216249615	-11.933111551259	-5.47637418603616	4.61850699299304	8.38433163187002e-07	0.000258534553730106	0.000767985437172836	-1	-1	1	21755	Prss39	chr1
226970	2.64570515494597	1.92194197610722	2.47966607375994	0.557724097652717	4.79925029843476	7.5539776915367	0	0.000600430271813747	2.61255552954376e-05	0.968660751247585	1	1	0	226970	Arhgef4	chr1
214469	7.91713663638526	0.293243105885254	0.38444095331679	0.0911978474315367	0	0	0	0.99971703951934	0.999293041395267	0.999979986623052	0	0	0	214469	Fam168b	chr1
226971	5.96366166491646	-0.650955835979474	-1.95329431083097	-1.3023384748515	0	-5.6931805395613	-1.92479812268476	0.964712598907522	0.000195232770153174	0.0444432661927417	0	-1	0	226971	Plekhb2	chr1
50785	7.29926123913498	-0.285285924079365	0.71345327443517	0.998739198514535	0	0	0	0.997429017923383	0.915487670545123	0.502772013467359	0	0	0	50785	Hs6st1	chr1
320011	7.38626481808835	0.353733201249949	-0.18400227384585	-0.537735475095799	0	0	0	0.999676230271951	0.999936369788302	0.998367302325047	0	0	0	320011	Uggt1	chr1
214854	0.24603727932485	1.29619819809015	1.03316389432556	-0.263034303764585	0.735146671533405	0.0859089921575705	0	0.241378574977852	0.467109747849477	0.954201188901705	0	0	0	214854	Neurl3	chr1
214855	7.90520254550224	1.44473243088024	0.852562405719971	-0.592170025160272	2.42204112799164	0	0	0.0202339491882724	0.776595461388531	0.980223015381873	0	0	0	214855	Arid5a	chr1
226976	6.73011808473856	-0.449145913357345	-0.225306956714783	0.223838956642562	0	0	0	0.998120339474029	0.999785328007506	0.9998699634046	0	0	0	226976	Kansl3	chr1
214895	4.85969280952185	-0.69104372123062	-1.40063834039967	-0.709594619169049	0	-3.34543952736849	0	0.982691892217784	0.00476710254307182	0.984020570916859	0	-1	0	214895	Lman2l	chr1
94220	5.49127756785675	0.253797077241393	0.718069535751423	0.464272458510029	0	0	0	0.998973035140535	0.931936518459454	0.994881742387085	0	0	0	94220	Cnnm4	chr1
94218	4.11209804178475	-0.771379828854617	-0.996047098275502	-0.224667269420885	0	0	0	0.855648334924035	0.507736353114087	0.998620830922298	0	0	0	94218	Cnnm3	chr1
78321	2.68117721747151	-0.177588830363339	-0.844810803973135	-0.667221973609796	0	0	0	0.997154649265832	0.753948414525058	0.923254409758732	0	0	0	78321	Ankrd23	chr1
109346	2.66848784777511	0.0618976884938292	-0.717541102951257	-0.779438791445086	0	0	0	0.999883286836973	0.947363797158465	0.904529240617808	0	0	0	109346	Ankrd39	chr1
20353	7.87216184838518	-0.200316013670778	-1.34585624074199	-1.14554022707121	0	-1.79183569051274	-0.815147108786448	0.998749739319225	0.0546649100334394	0.218801435798754	0	0	0	20353	Sema4c	chr1
381337	0.777171506679828	0.207235794529407	-0.81394266588311	-1.02117846041252	0	0	-0.0783800925772624	0.989149189465311	0.748228957073816	0.469713130146393	0	0	0	381337	Fam178b	chr1
12859	3.58025294881036	0.280144317803338	-0.249314424953929	-0.529458742757267	0	0	0	0.998311211489466	0.999022831098153	0.988093437769461	0	0	0	12859	Cox5b	chr1
226977	6.66619942818305	0.440404960742371	0.268610019227749	-0.171794941514622	0	0	0	0.999498173136195	0.999919163248147	0.999981996311249	0	0	0	226977	Actr1b	chr1
71166	-2.72354008623971	1.38984187746691	1.52104706689649	0.131205189429574	0.656701683804946	0.893210900874499	0	0.266261006258628	0.19951521978044	0.954511845644121	0	0	0	71166	4933424G06Rik	chr1
22637	-2.8355281544531	1.78602050622907	2.69397561113704	0.907955104907975	1.15718685614918	2.3682488984328	0	0.141162983643122	0.022414660402494	0.563768201226741	0	0	0	22637	Zap70	chr1
56030	6.98955494782712	0.439433306566189	0.373301096331706	-0.0661322102344828	0	0	0	0.999347041947532	0.999680636806106	0.999993274352353	0	0	0	56030	Tmem131	chr1
70853	-2.85594547879024	1.76279626348787	0.274096516398028	-1.48869974708984	1.13428007124259	0	-0.753545295259754	0.14563023354747	0.904563239976453	0.238195774995378	0	0	0	70853	Vwa3b	chr1
12790	-2.88808959515316	3.92757629064978	3.33296874048758	-0.594607550162193	4.94710421133121	4.3255313774249	0	0.000507249776088464	0.00115715130401742	0.749100604158417	1	1	0	12790	Cnga3	chr1
269180	4.79583200949589	0.571745760153452	1.06896782171568	0.49722206156223	0	0.421424488464979	0	0.985550050843073	0.342038787622122	0.993620288661837	0	0	0	269180	Inpp4a	chr1
76178	6.24673057369396	-0.830709393262842	-1.10798825204468	-0.277278858781835	0	-0.713568236508324	0	0.852894893711227	0.247469017893039	0.999609093833145	0	0	0	76178	Coa5	chr1
67387	4.54083718108096	-0.308557277147569	-0.677431058183996	-0.368873781036426	0	0	0	0.999490215330213	0.977321918910783	0.999382806686429	0	0	0	67387	Unc50	chr1
269181	6.13485254472951	-2.40344626810468	-0.419058311613584	1.9843879564911	-8.13650861030361	0	6.07221017394836	1.50158875116112e-05	0.995360421519287	0.000125296499107936	-1	0	1	269181	Mgat4a	chr1
77633	2.65878744775256	0.067836190261271	0.35399887181222	0.286162681550949	0	0	0	0.999533344726901	0.993919608362206	0.996532744974579	0	0	0	77633	4930594C11Rik	chr1
72097	3.62694932579288	-5.68364387258799	-4.98065988801143	0.702983984576558	-17.8436220718884	-15.1293347459672	0	3.17316625529365e-08	1.19287369675635e-07	0.941010855621762	-1	-1	0	72097	Cracdl	chr1
211484	1.12712336930707	-1.19434721799259	-1.11174442703336	0.0826027909592333	-0.794731420827833	-0.462810170122856	0	0.22438211591873	0.327665754271171	0.999034325497827	0	0	0	211484	Tsga10	chr1
623661	0.937430546199714	-0.497828525709287	-0.494618098551384	0.00321042715790276	0	0	0	0.954006553586115	0.957139195076986	0.999934135378663	0	0	0	623661	Lipt1	chr1
69028	2.77725918789426	0.974002508583838	0.527384062651933	-0.446618445931905	0	0	0	0.556882751982624	0.989415999750541	0.993939592185749	0	0	0	69028	Mitd1	chr1
107734	4.4243814708161	0.624857541476024	0.118219423546472	-0.506638117929551	0	0	0	0.987729674073234	0.999947223929616	0.997406691779518	0	0	0	107734	Mrpl30	chr1
98258	5.72946798593037	-0.767326518441954	-0.455024067373864	0.31230245106809	0	0	0	0.941731861451046	0.998432965785052	0.999759942410583	0	0	0	98258	Txndc9	chr1
226982	7.52425073750667	-0.48977564090434	0.136004656572699	0.625780297477039	0	0	0	0.975152577294418	0.998273950490555	0.947423798844506	0	0	0	226982	Eif5b	chr1
56210	4.47100957572727	-0.096773488919041	0.302169341241425	0.398942830160466	0	0	0	0.998304416246874	0.990994852767228	0.984693044819149	0	0	0	56210	Rev1	chr1
16764	1.01323572271911	3.45878660860666	4.77181662791588	1.31303001930921	5.94044943375009	8.41418688075994	0.645746104644473	0.000147580656864608	1.2072662147479e-05	0.268507374781147	1	1	0	16764	Aff3	chr1
98388	-0.248997981379606	0.245119060611078	0.968699904743785	0.723580844132707	0	0	0	0.964945842224271	0.531219975764186	0.750217820341855	0	0	0	98388	Chst10	chr1
68833	5.92499119234781	0.461510580977456	0.182916707772911	-0.278593873204545	0	0	0	0.998684223337626	0.999923729613494	0.999871125290559	0	0	0	68833	Pdcl3	chr1
18143	2.42196032859694	-5.07130616855446	-3.89990361037865	1.17140255817581	-17.7201851118357	-12.4453642536364	1.07414524254804	3.30592831883309e-08	5.60747856324595e-07	0.156396090018217	-1	-1	0	18143	Npas2	chr1
114641	3.36464267081945	-0.0563823563718655	-0.0755462938963234	-0.0191639375244579	0	0	0	0.999945685309377	0.999934667886213	0.999985824585841	0	0	0	114641	Rpl31	chr1
54610	5.50508250834757	-2.16520610798217	-1.97706832100087	0.188137786981296	-9.54534004805067	-8.00727673641356	0	4.44470783490013e-06	1.69182147937826e-05	0.999969269186634	-1	-1	0	54610	Tbc1d8	chr1
52846	4.61052091732572	1.05158477522025	1.00459247035201	-0.0469923048682395	0.363929930189451	0.0330179275458033	0	0.362473464161081	0.487217849333063	0.999973553094246	0	0	0	52846	Cnot11	chr1
100217461	-0.500863305989073	0.499679565819995	1.91824024110885	1.41856067528885	0	2.10268761724231	0.945703375209477	0.876456335946234	0.0336546532591554	0.185676611019476	0	0	0	100217461	Snord89	chr1
67702	6.79702227426977	0.45972564327869	1.24666493528727	0.786939292008584	0	1.19660669676646	0	0.985325737733262	0.132153025323583	0.852456661734325	0	0	0	67702	Rnf149	chr1
263764	-2.91594507267996	4.60188896142401	6.5211011372355	1.91921217581149	6.50564749457299	9.15503008462362	1.39545936431251	7.99607736419426e-05	6.67094744271597e-06	0.100406373554497	1	1	0	263764	Creg2	chr1
26921	7.90831494733935	0.233826337745555	0.734746458123939	0.500920120378384	0	0	0	0.99937205397731	0.931189324707108	0.995419537593509	0	0	0	26921	Map4k4	chr1
16178	-0.326868410594557	-0.992308142448612	0.126374478345935	1.11868262079455	0	0	0.169388655837333	0.516633562338635	0.947210998563255	0.442586307764737	0	0	0	16178	Il1r2	chr1
16177	4.83679066192396	-1.73852626222747	-2.05945885106192	-0.320932588834446	-3.47959279468607	-5.04696278558114	0	0.00389024369468178	0.000434938985315122	0.996769785123068	-1	-1	0	16177	Il1r1	chr1
107527	3.17281093598391	0.869168104449136	0.951902455177541	0.0827343507284057	0	0	0	0.802499129345374	0.627391973287009	0.999928863250154	0	0	0	107527	Il1rl2	chr1
17082	0.109153070662385	1.29531353146849	2.23428196797561	0.938968436507115	0.569001711433597	2.31832961671935	0	0.293157517578826	0.0239856150157977	0.546418381085652	0	0	0	17082	Il1rl1	chr1
16182	3.7677549988477	-3.20664028803716	-4.01727516120129	-0.810634873164132	-9.13372143150228	-12.722725819815	0	6.27443811821872e-06	4.71210354744352e-07	0.833003581808686	-1	-1	0	16182	Il18r1	chr1
16174	-0.194468518658102	-3.1129254875038	-2.7322103102298	0.380715177274004	-4.34551055069102	-3.56802357057506	0	0.00112063881659347	0.00342890056149993	0.930834730417067	-1	-1	0	16174	Il18rap	chr1
110895	-1.06236789491975	-3.77546681073335	-1.39624133860128	2.37922547213207	-5.49083053339549	-0.71437465919441	3.03209892446502	0.00025409373977246	0.248381334024731	0.00775623967655988	-1	0	0	110895	Slc9a4	chr1
226999	0.925328904982556	-2.78278706528022	-1.15215274387656	1.63063432140366	-6.37370213980427	-0.513472121392734	2.49443251898934	8.94711559684939e-05	0.310494134308754	0.0180365466230868	-1	0	0	226999	Slc9a2	chr1
211798	1.33803163105207	-0.92147983162614	-0.800839168330165	0.120640663295975	0	0	0	0.604975732868897	0.748924586394534	0.996237175331196	0	0	0	211798	Mfsd9	chr1
381339	-3.31175158298043	4.42266724234738	3.06209826084516	-1.36056898150223	5.1869847716796	3.35277238871443	-0.51306790401953	0.000377639477283059	0.00478339734542358	0.315264664600126	1	1	0	381339	Tmem182	chr1
69527	4.77524102595108	-0.0225436845271441	-0.227715213542871	-0.205171529015727	0	0	0	0.999992667843937	0.999880166329348	0.999925632089655	0	0	0	69527	Mrps9	chr1
73122	5.04638855242647	-0.475143178456283	-0.485582428433143	-0.0104392499768604	0	0	0	0.9948785069129	0.994572540819829	0.99999026068997	0	0	0	73122	Tgfbrap1	chr1
98404	3.88493097537297	0.59094038854513	-0.135846981164317	-0.726787369709447	0	0	0	0.950236313207596	0.998787321011095	0.884472213808212	0	0	0	98404	AI597479	chr1
14200	5.52609008503082	1.54792842112201	1.87780127712883	0.329872856006822	1.62456277555878	2.6005084446383	0	0.0706742478117625	0.0152494913884797	0.966545263099226	0	0	0	14200	Fhl2	chr1
666642	3.99978177011366	0.28464381684705	0.0150486128703733	-0.269595203976677	0	0	0	0.999318125054439	0.999987293890327	0.999527238467053	0	0	0	666642	Gm8210	NA
17974	7.2788136557456	-0.568933498473408	-2.06385680624141	-1.49492330776801	0	-7.0249116224868	-3.51006599394047	0.990358312488489	4.4431856438332e-05	0.00371540527858664	0	-1	0	17974	Nck2	chr1
100861934	-1.56401868717667	-2.060330905316	-1.91622745093098	0.14410345438502	-2.28591546979048	-1.99495558644163	0	0.0251918173603106	0.0399024717063066	0.978116526853758	0	0	0	100861934	NA	NA
